_id,NAME,ROUTE NO,DISTRICT,HOW NAMED,FROM,TO
64,CHP Officer Don J. Burt Memorial Highway,57,12,"ACR 7, CH 80, 2003",Orangethorpe Avenue,Yorba Linda Boulevard
65,John Burton Highway,35,4,"SCR 93, CH 117, 2012",SLOAT BLVD LT - PM 1.990,JCT RTE 1 - PM 3.164
66,Cabrillo Freeway,163,11,Historical,I-5,I-15
67,Cabrillo Highway,1,"5, 4","AB 1769, CH 1569, 1959, Streets & Highways Code Section 635",Las Cruces,San Francisco
68,Deputy Darnell Andrew Calhoun Memorial Highway,15,8,"SCR 25, CH 150, 2023",Main Street UC# 56-382 (PM 20.948),Jct of Rte 74/Central Avenue (PM 22.277)
69,California Delta Highway,4,"4, 10","SCR 11, CH 46, 1987",I-680 ,I-5
70,California Wildland Firefighters Memorial Highway,74,"12, 8","SCR 71, CH 22, 2002",San Juan Capistrano,Lake Elsinore
71,Adolfo Camarillo Memorial Highway,101,7,"ACR 116, CH 74, 2008",Top of the Conejo Grade,Lewis Road
72,Los Angeles Police Officer Ian J. Campbell Memorial Highway,101,7,"ACR 100, CH 109, 2012",Hollywood Blvd - PM 6.520,Cahuenga Blvd - PM 7.459
73,Capital City Freeway,51,3,"Sacramento Area Council of Governments, 1996",Route 50 / Route 99,I-80
74,Vallejo Police Officer James Capoot Memorial Highway,37,4,"SCR 6, CH 85, 2013",JCT RTE 29/37 - PM R 9.665,JCT RTE 80/37 - PM R 11.728 R
75,Carneros Highway,121,4,"SCR 62, CH 29, 1992",Route 37 in Sonoma County,Route 29 in Napa County
76,Pomona Police Officer Greggory Casillas Memorial Highway,10,"7, 8","ACR 236, CH 157 2018",North San Antonio Undercrossing UC # 53-859 (Postmile 46.718),Mountain Avenue Undercrossing UC # 54-1187 (Postmile 2.370)
77,CHP Officer William “Ivan” Casselman Memorial Highway,80,3,"ACR 100, CH 109, 2012",5 MILES WEST FROM COUNTY ROAD 32A PM 0.781,Webster UC # 22-43 PM 5.781
78,Central Yosemite Highway,140,10,"ACR 27, CH 69, 1989",Merced/Mariposa County Line near Planada,Yosemite National Park
79,Century Freeway,105,7,Local Usage,El Segundo near LAX,I-605 near Norwalk
80,"United States Army Specialist Ricardo Cerros, Jr. Memorial Highway",101,5,"SCR 57, CH 21 2018",Esperanza Road (PM 78.840),Gould Road (PM 82.570)
81,Cesar Chavez Memorial Highway,215,8,"SCR 112, CH 118 2018",(Approx. Postmile 12.753) ,Junction of 15/215 Separator # 54-783 (Postmile 17.753)
82,"Eugene ""Gene"" Chappie Memorial Highway",193,3,"SCR 2, CH 105, 2015",JCT ROUTE 49 - PM 0.000,CRAMER ROAD - APPROX PM R2.150
83,CHP Officer Lucas F. Chellew Memorial Highway,80,3,"SCR 117, CH 180, 2022",Antelope Road OC# 24-0129 (PM 16.685) ,Douglas Boulevard OC# 19-0079 (PM 1.975)
84,Officer Dave Chetcuti Memorial Highway,101,4,"SCR 97, CH 158, 1998",San Francisco International Airport,Broadway-Burlingame exit
85,Larry Chimbole Memorial Highway,138,7,"ACR 138, CH 160, 2016",Junction of Routes 14/138 (PM 43.418),40th Street East (PM 47.761)
86,Chino Valley Freeway,71,"7, 8","ACR 20, CH 55, 1993",I-10,San Bernardino/Riverside County Line
87,Chumash Highway,154,5,"ACR 75, CH 149, 2007","Start of Route 154, Junction Route 101","Terminus of Route 154, Junction Route 101"
88,Civilian Women Volunteers All Wars Memorial Freeway,101,4,"ACR 83, CH 36, 2000",Ralston Avenue exit in Belmont,Route 92
89,Linus F. Claeys Freeway,80,4,"SCR 85, CH 80, 1990",Route 4,Carquinez Bridge
90,Don Clausen Highway,101,1,"ACR 92, CH 62, 1996",Along the Redwood National Park Bypass,
91,CAL-FIRE Chief William R. Clayton Memorial Highway,5,11,"SCR 12, CH 81, 2021",La Costa Avenue (PM R44.071),Cannon Rod (PM R47.975)
92,California Highway Patrol Officer Brent William Clearman Memorial Freeway,880,4,"SCR 132, CH 141, 2008",Post Mile 26.61,Post Mile 27.63
93,"Senator David E. Cogdill, Sr., Memorial Highway",395,9,"SCR 133, CH 243 2018",Junction Route 182 (Postmile 76.300),South Buckeye Creek Bridge #47-33 (Postmile 79.168)
94,CHP Officer Thomas P. Coleman Memorial Highway,10,8,"SCR 25, CH 89, 2011",Texas Street UC# 54-583 - PM 30.377,Wabash Ave OC# 54-590 - PM 34.288
95,Colorado Freeway,134,7,By Location,Eagle Rock Boulevard,Linda Vista Avenue in Pasadena
96,Detective Monty L. Conley and Detective Joe R. Landin Memorial Highway,198,6,"ACR 15, CH 51, 2011",JCT 245 AVE 296&RD 204 - PM R19.762,Mehrten Drive - PM 23.760
97,California Highway Patrol Officer David W. Copleman Memorial Highway,126,7,"ACR 46, CH 66, 2005",Hallock Drive ,Fillmore City Limit
