_id,NAME,ROUTE NO,DISTRICT,HOW NAMED,FROM,TO
396,U.S. Army SP4 Dwayne M. Patterson Memorial Highway,111,11,"SCR 15, CH 83, 2021",(Postmile 33.000),(Postmile 37.600)
397,Joash E. Paul Memorial Highway,99,10,"ACR 19, CH 81, 2003",Stanislaus/Merced County Line,Mitchell Road
398,Burbank Police Officer Matthew Pavelka Memoria Freeway,5,7,"ACR 156, CH 150, 2004",West Burbank Boulevard,Hollywood Way
399,Pearl Harbor Memorial Highway,10,"7, 8","SCR 8, CH 72, 2005",Santa Monica,Arizona State Line
400,Pearl Harbor Survivors Memorial Highway,99,6,"SCR 13, CH 81, 1993",Tulare,Fresno
401,CHP Officer John Pedro Memorial Highway,1,5,"SCR 67, CH 118, 2004",Pajaro River Bridge,Harkins Slough Road
402,"Fire Chief F. S. ""Pete"" Pedroza Memorial Highway",111,11,"SCR 64, CH 116, 2004",I-8,East Jasper Road near the City of Calexico
403,"California Highway Patrol Officers James E. Pence, Jr., Roger D. Gore, Walter C. Frago, and George M. Alleyn Memorial Highway",5,7,"SCR 93, CH 92, 2006",Magic Mountain Parkway,Rye Canyon Road undercrossing
404,Police Officer Richard Perkins Memorial Highway,395,9,"SCR 46, CH 53, 2004",Warm Springs Road,Southern City Limits of Bishop
405,Officer Pepe Petersen Memorial Highway,99,10,"SCR 46, CH 162, 2019",Arch Road UC# 29-316 (Postmile 14.568),Mariposa Road OC# 29.157 (Postmile 16.698)
406,Petroleum Highway,33,6,"ACR 185, CH 128, 2004",Route 166,Route 46
407,Deputy Sheriff Dennis E. Phelps Memorial Highway,168,6,"SCR 17, CH 106, 2003",Temperance Avenue,Shepherd Avenue
408,Westminster Police Officer Steven L. Phillips Memorial Highway,39,12,"ACR 70, CH 132, 2005",I-405,Route 22
409,Medal of Honor Recipient Larry Stanley Pierce Memorial Highway,46,6,"ACR 60, CH 68, 2009","Western City Limits, City of Wasco","Eastern City Limits, City of Wasco"
410,David E. Pierson and Bill Freeman Highway,86,11,"ACR 23, CH 68, 1989",San Felipe Creek Bridge at Route 78,Imperial/Riverside County Line
411,Gateway to the Pinnacles Highway,101,5,"ACR 67, CH 141, 2014",Exit 301 SB ON FROM ARROYO SECO - PM 60.150,Exit 305 SB ON FROM CAMPHORA/GLORIA - PM 64.410
412,Paul H. Pino Memorial Highway,395,9,"SCR 55, CH 50, 2006",Gill Station Coso Road,Route 190
413,Lewis E. Platt Memorial Highway,87,4,"SCR 37, CH 96, 2007",I-280,Julian Street/Santa Clara Street exit
414,Officer Jack Polen Memorial Highway,44,2,"ACR 135, CH 121, 2016",Wilson Hill Road (PM R27.882) ,Airport Way (PM 35.930)
415,Pomona Freeway,60,"7, 8",By Commission 11/15/1955,I-5,Route 83 in Chino
416,Harold Del Ponte Memorial Highway,101,1,"SCR 124, CH 119 2018",The county border of Del Norte and Humboldt (Postmile M0.000),(Postmile R2.000)
417,Senator Chuck Poochigian Highway,180,6,"SCR 103, CH 87, 2008",Clovis Avenue,General Grant Grove Park
418,Portola Freeway ,380,4,"ACR 113, CH 217, 1970",Route 1,Route 101 near San Francisco International Airport
419,Post No. 1747 Veterans of Foreign Wars of the United States Memorial Highway,70,3,"ACR 149, CH 97, 2000",Pacific Heights/Georgia Way,Westbound ramp to Garden Drive
420,LA County Deputy Sheriff David Powell Memorial Highway,91,7,"ACR 30, CH 47, 2009",Route 605,Pioneer Boulevard
421,Deputy Sheriff Sandra Powell-Larson Memorial Highway,5,3,"SCR 96, CH 113, 2006",Q Street,J Street
422,Deputy Frank M. Pribble Memorial Highway,10,8,"ACR 96, CH 72, 2008",Post Mile 12.25,Post Mile 15.25
423,Soledad State Prison Correctional Officers Memorial Highway,101,5,"SCR 23, CH 95, 2013",Exit 305 (PM 64.630),Exit 310 (PM 69.372)
424,National Purple Heart Trail,70,3,"ACR 19, CH 106, 2021 ",(Postmile 13.604),(Postmile 15.850)
425,National Purple Heart Trail,20,3,"ACR 19, CH 106, 2021 ",(Postmile 0.000),(Postmile R3.389)
426,Purple Heart Veterans Highway,99,"10, 3","SCR 54, CH 19, 1992",Route 4 in Stockton,Route 50 in Sacramento
427,National Purple Heart Trail,101,5,"ACR 12, CH 84, 2009",Mon Post Mile 9.67,SB Post Mile 36.16
428,National Purple Heart Trail,101,"5, 7","SCR 27, CH 88, 2013",VENTURA COUNTY (PM 0.000),SANTA BARBARA COUNTY (PM R36.160)
429,Kent D. Pursel Memorial Freeway,80,4,"SCR 99, CH 229, 1968",SF-Oakland Bay Bridge,Alameda/Contra Costa County Line
430,CHP Officer Robert J. Quirk Memorial Highway,5,2,"ACR 3, CH 73, 2013",NINE MILE HILL OC# 8-101 PM 36.371,SUNSET HILLS DRIVE OC# 8-102 PM 38.716
431,Ramona Freeway ,10,"7, 8",Not Officially Named,Route 101,I-215
432,Officer James Rapozo Memorial Freeway,198,6,"ACR 84, CH 118, 1999",Route 99,Route 245
433,Captain Mark Ratledge Memorial Highway,5,2,"SCR 78, CH 88, 2012",Bowman Road OC# 8-105 - TEH-PM 41.525,N. Cottonwood 6-38 N/B On - SHA-PM 2.076
434,Ronald Reagan Freeway,118,7,"SR 7, 12/5/1994, and by local usage",Route 126,I-210
435,Redondo Beach Freeway ,91,7,"ACR 80, CH 148, 1970",I-405,I-710
436,Redwood Highway,101,"4, 1","ACR 174, CH 269, 1957",Golden Gate Bridge,Oregon State Line
437,Pasadena Police Agent Richard Morris Memorial Highway,210,7,"ACR 170, CH 181, 2014",ALLEN AVENUE UC# 53-2040 R/L - PM R27.409,ROSEMEAD BOULEVARD SEP 210/164 # 53-1957 R/L - PM R29.486
438,Special Agent Richard “Rick” K. Oules Memorial Highway,140,10,"SCR 77, CH 75, 2014",Arboleda Drive - PM 40.700,Plainsburg Road - PM 43.700
439,Bernie Richter Memorial Highway,99,3,"ACR 189, CH 142, 2004",5 miles south of junction with Route 70,Route 70
440,Deputy Sheriff Ricky Del Fiorentino Memorial Highway,1,1,"ACR 159, CH 177, 2014",PM 62.000,PM R65.000
441,Dr. Sally Ride Memorial Highway,101,7,"ACR 51, CH 114, 2021",Junction 101/405 SEP# 53-1146R (PM 17.165R),Balboa Boulevard UC# 53-1052 (PM 19.217)
442,Deputy Probation Officer Irene B. Rios Memorial Highway,8,11,"ACR 66, CH 99, 2011",PM R4.600L,PM R6.600L
443,"CHP Officer Reuben F. Rios, Sr., Memorial Freeway",15,8,"ACR 110, CH 93, 2000",Sierra Avenue,Kenwood Avenue
444,Correctional Officer Jose Rivera Memorial Highway,99,10,"SCR 118, CH 129, 2010",Franklin Road,Winton Way
445,Riverside Freeway,"91, 215","12, 8","By Commission, 10/22/1957",I-5,I-10 in Colton
446,Robert Jones Memorial Highway,5,2,"SCR 53, CH 4, 2014",PM R41.500,PM R43.500
447,Jackie Robinson Memorial Highway,210,7,"ACR 197, CH 165, 2016",Gould Avenue OC# 53-2177 (PM R20.600),Orange Grove Boulevard OC# 53-2195 (PM R24.641)
448,CHP Officer David M. Romero Memorial Highway,60,7,"SCR 57, CH 123, 2009",Route 605 (Post Mile 11.59),Hacienda Boulevard (Post Mile 15.96)
449,Eric W. Rood Memorial Expressway,20,3,"ACR 122, CH 32, 2010",State Highway Route 49,Intersection of the Rough and Ready Highway and Penn Valley Drive
450,LA County Deputy Sheriff Maria Cecilia Rosa Memorial Highway,710,7,"ACR 34, CH 48, 2009",Pacific Coast Highway,Wardlow Road
451,Long Beach Fire Captain David Rosa Memorial Highway,5,12,"SCR 159, CH 234 2018","Camino Las Ramblas, known as Route 1 Junction SEP# 55-510 (Postmile 6.761)","Ortega Highway, also known as State Route 74 Junction SEP# 55-229 (Postmile 9.604)"
452,Border Patrol Agent Robert W. Rosas Jr. Memorial Highway,8,11,"SCR 37, CH 54, 2011",Postmile Marker 8-SD-R51.000,Postmile Marker 8-SD-R55.800
453,Paul Vincent Rotondaro Memorial Highway,140,10,"ACR 144, CH 131, 2022",Postmile 6.500,Postmile 11.000
454,Corporal Luis Carlos Ruan Memorial Highway,119,6,"ACR 211, CH 172, 2022","East Kern
Street (PM 0.340)",Cedar Street (PM 1.300)
455,Firefighter Steven Rucker Memorial Highway,79,11,"SCR 53, CH 114, 2004",Engineers Road in Cuyamaca,Route 78 in Santa Ysabel
456,Deputy Sheriff Robert Rumfelt Memorial Highway,29,1,"SCR 92, CH 116 2018",Junction of State Route 175 (Postmile R40.144),11th Street UC 14-38 (Postmile R42.677)
457,William Byron Rumford Freeway,24,4,"ACR 137, CH 92, 1980",I-580 in Oakland,Caldecott Tunnel
458,Senator Sharon Runner Memorial Highway,14,7,"ACR 138, CH 160, 2016",“K” Avenue UC #53-2381RT (PM R66.730) ,“H” Avenue OC #53-1862 (PM R69.991)
459,CHP Officer Douglas “Scott” Russell Memorial Freeway,50,3,"SCR 100, CH 70, 2010",eastbound Post-mile 08.533,"westbound Post-mile
08.598"
460,Sergeant Daniel Sakai Memorial Highway,580,4,"ACR 79, CH 111, 2009",Strobridge Avenue,East Castro Valley Boulevard
461,Ruben Salazar Memorial Freeway,710,7,"SCR 46, CH 78, 2005",Route 60,East Cesar Chavez Avenue
462,Roberto “Bobby” Salcedo Memorial Highway,60,7,"ACR 174, CH 144, 2010",Atlantic Boulevard in the City of Monterey Park,"city limit of the City of
Rosemead"
463,San Bernardino Freeway,10,"7, 8","By Commission, 11/18/1954",Route 101,I-215
464,San Diego Freeway,5,"11, 12","By Commission, 4/25/1957",Route 94,I-405 near Irvine
465,San Diego Freeway ,405,"12, 7","By Commission, 11/18/1954",I-5 south of Irvine,I-5 north of San Fernando
466,San Gabriel River Freeway,605,"12, 7","SB 99, CH 1101, 1967",I-405,I-10
467,San Luis Rey Mission Expressway,76,11,"ACR 6, CH 54, 1995",I-5,I-15
468,Officer Samuel Sanchez Memorial Highway,166,5,"SCR 12, CH 106, 2015",SIMAS ROAD - PM 0.892,BONITA SCHOOL ROAD - PM 3.745
469,United States Army Sgt. Javier Sanchez Memorial Highway,101,5,"SCR 57, CH 21 2018",Approx. Espinosa Road (PM 52.210),Hudson Road (PM 55.940)
470,Correctional Officer Jesus “Jesse” Sanchez Memorial Highway,83,7,"SCR 83, CH 122, 2010",State Highway Route 60,Kimball Avenue
471,Sig Sanchez Highway,101,4,"SCR 46, CH 71, 1994",Morgan Hill Bypass,
472,CHP Officer Joseph P. Sanders Memorial Highway,60,7,"ACR 94, CH 116, 2009",Hacienda Boulevard (Post Mile 15.96),Nogales Street (Post Mile 20.44)
473,Santa Ana Freeway,"5, 101","12, 7",By Location,I-405,I-110 (4-level Interchange)
474,Santa Monica Freeway ,10,7,"By Commission, 4/25/1957",Route 1 - PM R2.155,I-5 - PM 18.394
475,Santa Paula Freeway,126,7,"SB 835, CH 1223, 1967",Route 101 near Ventura,I-5 near Santa Clarita
476,"Detective Gerald ""Blackie"" Sawyer Memorial Highway",39,12,"ACR 16, CH 68, 2013",12-ORA-039 STAGE ROAD PM 16.130,12-LA-039 HILLSBOROUGH DRIVE PM approx. D18.3
477,CDF Firefighter Eva Marie Schicke Memorial Highway,120,10,"ACR 156, CH 166, 2008",Rim of the World Vista,Mariposa/Tuolumne County Line
478,James D. Schultz Memorial Freeway,8,11,"SCR 21, CH 87, 2007",Brock Research Center Road,Gordons Well
479,"CHP Officer James J. Schumacher, Jr., Memorial Highway",99,10,"ACR 111, CH 32, 2002",Athlone Road,Worden Avenue
480,Humboldt County Sheriff’s Office Corporal Rich Schlesiger Memorial Highway,101,1,"ACR 43, CH 131, 2017",Posmile Marker 64.500 near Ferndale Exit,Posmile Marker 68.000 near Hookton Road)
481,CHP Officer Earl Scott Memorial Highway,99,10,"SCR 120, CH 130, 2010",Pelandale Avenue,Route 219
482,Officer Tommy Scott Memorial Highway,405,7,"SCR 39, CH 54, 2022",Imperial Highway UC# 53-1241 (PM R21.222),West Century Boulevard UC# 53-1243 (PM 22.216)
483,California Highway Patrol Officer Earl Scott Memorial Highway,219,10,"ACR 31, CH 47, 2011",JCT 99 - PM 0.116,JCT 108. END OF ROUTE - PM 4.858
484,Screaming Eagles Highway,101,7,"ACR 54, CH 85, 2003",Los Angeles/Ventura County Line,Ventura/Santa Barbara County Line
485,Officer Loren D. Scruggs Memorial Highway,101,5,"SCR 57, CH 38, 2008",Santa Maria Way,South edge of the Santa Maria River Bridge
486,Ranger Patricia M. Scully Memorial Highway,1,4,"SCR 102, CH 120, 2012",JCT 84 E. SAN GREGORIO - PM 18.189,VERDE-LOBITOS CR RDS RT - PM 22.662
487,Sears Point Toll Road,37,4,"CH 393, 1933",Route 121 near Sears Point,Vallejo
488,Seaside Freeway ,47,7,"HR 144, 1959",San Pedro,Long Beach
489,Eric Seastrand Memorial Highway,46,5,"ACR 22, CH 75, 1993",Route 1 near Cambria,Route 101 near Paso Robles
490,Tom Seaver Memorial Highway,41,6,"ACR 52, CH 136, 2021",E. Jensen Avenue OC# 42-268 (PM R21.113),South Fresno Viaduct# 42-226 (PM R22.107)
491,Semper Fi Highway,15,11,"ACR 121, CH 40, 2004",Route 163,Miramar Road
492,Sepulveda Freeway ,405,"12, 7",By Location,I-5 south of Irvine,I-5 north of San Fernando
493,Sequoia-Kings Canyon Freeway,180,6,"SCR 25, CH 85, 1997",Brawley Avenue,Highland Avenue
494,Junipero Serra Freeway,280,4,"ACR 140, CH 208, 1967",Route 17 in Santa Clara County,Route 1 in San Francisco
495,Nathan Shapell Memorial Highway,405,7,"ACR 73, CH 148, 2007",Howard Hughes Parkway,Mulholland Drive
496,"Kings County Deputy Sheriff Allen
Thomas Sharra Memorial Highway",41,6,"ACR 38, CH 106, 2019",Lincoln Avenue (PM 32.420),Lansing Avenue (PM 33.590)
497,Shawn Baker Memorial Highway,5,2,"SCR 53, CH 4, 2014",PM R35.700,PM R39.500
498,"CHP Officer Ambers O. ""Sonny"" Shewmaker Memorial Highway",10,8,"ACR 100, CH 109, 2012",Main Street - PM R19.398,Verbenia Avenue OC# 56-530- PM R24.554
499,Shoreline Highway,"1, 211","4, 1","SCR 91, CH 239, 1957",San Francisco,Fernbridge
500,Sierra Freeway,168,6,"SCR 25, CH 85, 1997",Route 180 in Fresno,Armstrong Avenue in Fresno
501,Army Specialist Eduardo Silva Memorial Highway,101,5,"ACR 201, CH 165, 2022",Kenny Road (PM 50.285),Underwood Road (PM 51.060)
502,Simi Valley-San Fernando Valley Freeway,118,7,"ACR 145, CH 185, 1970",Route 23 in Moorpark,I-210 in San Fernando
503,Sinclair Freeway,"280, 680",4,"ACR 104, CH 168, 1967",Route 17 near San Jose,Santa Clara/Alameda County Line
504,Corporal Ronil Singh Memorial Highway,33,10,"ACR 128, CH 42, 2020",Sanches Road (Postmile 29.730) ,Stuhr Road (Postmile 2.060)
505,Skyline Boulevard,"17, 35, 92, 280",4,"CH 46, 1919",Santa Cruz,San Francisco
506,Skyway Freeway (Unconstructed),170,7,"ACR 109, CH 26, 1974",LA International Airport,Route 90
507,Matthew “SLOStringer” Frank Memorial Highway,101,5,"ACR 103, CH 169, 2018",Spyglass / Shell Beach Drive UC# 49-189 (PM R19.812),Avila Beach Drive UC# 49-191 (PM R21.105)
508,California Small Business Owner's Highway,99,3,"ACR 118, CH 174, 2014",HULL ROAD - PM 22.830,STEWART ROAD - PM 26.880
509,"Detective Sergeant Thomas A. Smith, Jr. Memorial Highway",680,4,"ACR 22, CH 127, 2017",Bollinger Canyon Road OC# 28-224 (PM R2.885) ,Crow Canyon Road OC# 28-206 (PM R4.182)
510,CHP Officer Charles T. Smith Memorial Highway,5,3,"ACR 75, CH 113, 2011",County Road 25 - PM R21.824,State Highway 32 - PM R25.529
511,Caltrans Leadworker Gary Wayne Smith Memorial Highway,99,3,"SCR 52, CH 94, 2011",Postmile Marker 03-BUT-099-38.790,Postmile Marker 11-BUT-099-44.320
512,CHP Officer William P. Sniffen Memorial Highway,880,4,"ACR 100, CH 109, 2012",23rd Avenue OC# 33.139 - PM 28.934,16th Avenue OC# 33-137 - PM 29.692
513,Mayor Jack Snyder Memorial Highway,120,10,"ACR 138, CH 128, 2022","Wyche OH 
End of Bridge# 29-272RT (PM R1.845)",Moffat Blvd. OH End of Bridge# 29-278RT (PM R6.431)
514,Sonoma County Veterans Memorial Highway,101,4,"SCR 70, CH 102, 1998",Marin/Sonoma County Line,Healdsburg at the Bill Lucius Highway
515,Sonora and Mono Wagon Road,"108, 395","10, 9","SB 289, CH 111, 1901, Extended AB 672, CH 510, 1919",Eastern boundary of the City of Sonora,Bridgeport
516,Deputy Sheriff Stephen Sorensen Memorial Highway,138,7,"ACR 135, CH 42, 2004",136th Street,195th Street
517,CHP Officer Charles “Chuck” Sorenson Memorial Highway,12,3,"SCR 100, CH 109, 2012",5 MILES WEST FROM BRANNAN ISLAND ROAD PM 0.845,BRANNAN ISLAND RD LT PM 5.845
518,South Bay Freeway,54,11,By Location,I-805,Route 94
519,Southern California Native American Freeway,210,"7, 8","AB 776, CH 543, 2023",JCT 5. 210/5 BR# 53-1985 (R0.000),JCT10. RT LNS END RTE 210 (PM R33.180)
520,Southern Yosemite Highway,41,6,"ACR 27, CH 69, 1989",Fresno/Madera County Line,Yosemite National Park
521,Stan Statham Memorial Highway,44,2,"SCR 97, CH 178, 2022",Postmile R7.700,Postmile R9.000
522,Officer Richard T. Steed Memorial Highway,5,12,"ACR 35, CH 73, 2011",Avenida San Luis Rey OC #55-151 - PM 0.647,Camino De Estrella OC #55-224 - PM 5.801
523,CHP Officer Thomas J. Steiner Memorial Highway,60,7,"SCR 20, CH 2, 2006",Phillips Ranch Road,Reservoir Street
524,"Stephen Palmer, Sr., Memorial Highway",94,11,"SCR 38, CH 3, 2014",OLD CAMPO ROAD - PM R16.480,MELODY ROAD - PM 20.662
525,"CHP Officer Andrew ""Andy"" Stevens Memorial Highway",16,3,"ACR 141, CH 137, 2008",I-505,County Road 98
526,Robert Louis Stevenson's Historic Trail to Silverado,29,4,"SCR 37, CH 93, 2010",Post Mile 37.9,Post Mile 39.5
527,Jeffey Stevenson Memorial Bike Path,101,4,"SCR 27, CH 63, 2021",Miller Creek Road OC#27-82 (PM 15.570),Pacheco Creek OC# 27-84 (PM 16.641)
528,"CHP Officer Larry L. Wetterling and San Bernardino County Sheriff’s Lieutenant Alfred E.
Stewart Memorial Highway",15,8,"ACR 127, CH 110, 2010",Route 138,Oak Hill Road
529,Stone Turnpike Memorial Freeway,5,2,"ACR 94, CH 98, 1994",Pit River Bridge,Shasta/Siskiyou County Line
530,California Highway Patrol Officer Franke A. Story Memorial Highway,86,11,"ACR 57, CH 73, 1996",City of Imperial,City of Brawley
531,Officer Ryan Stringer Memorial Highway,10,7,"ACR 100, CH 109, 2012",South Marguerita Ave. - PM 23.117,South Almansor Street - PM 24.315
532,Vernon L. Sturgeon Memorial Highway,101,5,"SCR 72, CH 96, 2006",Spring Street in Paso Robles,Santa Barbara Road in Atascadero
533,Jack Tanaka Memorial Highway,60,7,"SCR 11, CH 118, 2019",Lemon Avenue UC# 53-1787 (Postmile R22.377),Golden Spring Drive UC# 53-2079 (Postmile R26.526)
534,Stephen P. Teale Highway,26,10,"SCR 43, CH 106, 1997",Mokelumne Hill,West Point
535,Deputy Sheriff Erik Jon Telen Memorial Highway,168,6,"SCR 43, CH 70, 2002",Herndon Avenue,Temperance Avenue
536,Temecula Valley Freeway,15,8,"ACR 125, CH 78, 1990",San Diego/Riverside County Line,Bundy Canyon Road near Lake Elsinore
537,Frederick E. Terman Memorial Highway,101,4,"SCR 30, CH 110, 2015",SHORELINE BOULEVARD OC#37-153 - PM 48.596,COUNTY LINE OF SANTA CLARA AND SAN MATEO - PM 52.550
538,Riverside County Deputy Sheriff Eric Andrew Thach Memorial Freeway,215,8,"SCR 92, CH 134, 2000",Murrieta Hot Springs Road,McCall Boulevard
539,Mayor James Thalman and Mayor Michael Wickman Memorial Highway,71,8,"SCR 52, CH 26, 2006",Soquel Canyon/Central Avenue,Pine Avenue
540,Lt. Colonel Nguyen Thi Hanh Nhon's Disabled Veterans Memorial Highway,405,12,"SCR 60, CH 178, 2017",Brookhurst Street OC# 55-402 (PM 13.780),"Magnolia Street OC# 55-264 (PM 15.210),"
541,Everett and Louella Thomas Memorial Highway,101,1,"SCR 69, CH 120, 2004",Patrick's Point undercrossing,Four miles north of that undercrossing near Big Lagoon
542,Robert “Bob” Thompson Memorial Highway,299,2,"ACR 202, CH 151 2018",(Postmile 83.030),(Postmile 84.000)
543,Deputy James Throne Memorial Highway,184,6,"ACR 48, CH 80, 2009",Route 223,Route 178
544,Tinloy Street,"20, 49",3,"SCR 11, CH 121, 2005",East Main Street,South Auburn Street
545,Tioga Road ,120,9,"AB 302, CH 306, 1915",East Boundary of Yosemite National Park,Route 395
546,United States Navy Lientenant Commander Otis Vincent Tolbert Memorial Highway,198,6,"SCR 35, CH 51, 2004",25th Avenue near Lemoore Naval Air Station,18th Avenue near Lemoore High School
547,Torrance Freeway,107,7,"ACR 63, CH 171, 1968",Route 1 near Torrance,I-405 near Lawndale
548,Trinity Scenic Byway,299,"1, 2","ACR 126, CH 131, 1992",Route 101 in Arcata,I-5 in Redding
549,Tuolumne County Vietnam Veterans Memorial Highway,108,10,"ACR 17, CH 89, 2003",Stanislaus/Tuolumne County Line,Tuolumne/Mono County Line
550,CHP Officer Alfred R. Turner Memorial Highway,5,10,"SCR 80, CH 97, 1998",Route 165,Route 152
551,Tuskegee Airmen Memorial Highway,80,4,"SCR 45, CH 92, 2013",E. JCT RTE 12 SEP# 23-0199F - PM 15.815,MIDWAY ROAD OC# 23-148 - PM 32.622
552,Tuskegee Airmen Highway,15,11,"SCR 90, CH 104, 2012",Miramar Road - PM M14.285,Mercy Road - PM M17.311
553,Twentynine Palms Highway,62,8,"ACR 164, CH 121, 1990",I-10,Route 177
554,U.S. Submarine Veterans of WWII Memorial Highway,1,12,"ACR 98, CH 103, 2000",Golden West Street in Huntington Beach,Orange/Los Angeles County Line
555,Ritchie Valens Memorial Highway ,5,7,"ACR 23, CH 128, 2017",Junction with State Route 170 SEP# 53-1122R (PM 36.358)  ,Junction with State Route 118 SEP# 53-2324L (PM 39.385)
556,Vernon P. Valenzuela Memorial Highway,204,6,"SCR 4, CH 69, 2013","""Q"" Street - PM 4.270","""F"" Street - PM 5.137"
557,"Imperial Valley Pioneers
Expressway",111,11,"ACR 160, CH 147, 2010",Route 8,Route 78
558,Valley of the Moon Scenic Route,"37, 121, 12",4,"SCR 56, CH 192, 1953 & ACR 46, CH 140, 1949",Route 101 near Ignacio,Santa Rosa via Sonoma
559,Stanley L. Van Vleck Memorial Highway,16,3,"ACR 4, CH 61, 2001",Dillard Road,Sacramento/Amador County line
560,CAL FIRE Firefighter Braden Varney Memorial Highway,140,10,"ACR 47, CH 108, 2019",Junction 49/140 (PM 22.080),Triangle Road (PM 26.290)
561,Lance Corporal Christian Vasquez Memorial Highway,198,6,"ACR 100, CH 109, 2012",Sixth Avenue - PM 23.320,END of County - PM 28.325
562,Police Officer Jose “Gil” Vega and Police Officer Lesley Zerebny Memorial Highway ,111,8,"ACR 2, CH 125, 2017",West San Rafael Drive (PM 54.955),Overture Drive (PM 58.478)
563,Officer Nicholas Vella Memorial Highway,39,12,"ACR 162, CH 135, 2022",JCT 1/39 (PM 0.000),Talbert Avenue (PM 3.611)
564,John G. Veneman Freeway,99,10,"ACR 171, CH 131, 1984",Turlock,Modesto
565,Ventura Freeway,"134, 101",7,Historical ,I-5,"Route 1, east of the City of Ventura"
566,Ventura Freeway Extension,101,7,"SCR 4, CH 62, 1973","Route 1, east of the City of Ventura",Santa Barbara/Ventura County Line
567,Ventura County Vietnam Veterans Memorial Highway,1,7,"ACR 135, CH 89, 2002",Los Angeles/Ventura County Line,Ventura/Santa Barbara County Line
568,Veteran’s Memorial Highway,29,4,"ACR 67, CH 159, 2018",Darms Lane (Approx. PM 16.507,Yount Mill Road (PM 21.620)
569,Veterans Boulevard,1,4,"SCR 73, CH 64, 1998",Lake Street,The vicinity of San Francisco National Cemetery
570,Veterans Memorial Freeway ,73,12,"SCR 2, CH 13, 1967",Route 1 near Corona Del Mar,Jamboree Road - PM 24.778
571,Veterans Memorial Freeway,10,8,"ACR 137, CH 104, 1994",Post Mile 79,Post Mile 89
572,Veterans Memorial Highway,156,5,"SCR 22, CH 65, 1997",0.2 miles east of Union Road,0.4 miles east of San Felipe Road
573,Veterans Memorial Highway,101,5,"ACR 133, CH 103, 1994",,
574,Veterans of Foreign Wars of the United States Memorial Highway,99,6,"SCR 54, CH 19, 1992",McFarland,Tulare
575,Veterans' Memorial Highway,101,1,"ACR 57, CH 113, 2007",Post Mile 68.40,Post Mile 71.10
576,Victor V. Veysey Expressway,78,11,"SCR 70, CH 121, 2004",Route 86 near Brawley,Route 111 east of Brawley
577,Viet Dzung Human Rights Memorial Highway,39,12,"SCR 85, CH 90, 2014",Talbert Avenue - PM 3.611,State Highway Route 405 SEP# 55-267 - PM 5.800
578,Vietnam Veterans Memorial Highway,88,10,"ACR 184, CH 148, 2018",The Nevada State Line 5 miles southwest (Postmile 20.283),The Nevada State Line (Postmile 25.283)
579,Vietnam Veterans Memorial Highway,119,6,"SCR 68, CH 95, 2006",Enos Lane,Route 184
580,Vietnam Veterans Memorial Highway,1,5,"SCR 26, CH 90, 2011",JCT RTE 166 - PM 49.199,Santa Barbara / San Luis Obispo County Line - PM 50.606
581,"Modesto Police Officer Leo Volk, Jr., and Modesto Police Sergeant Steve May Memorial Highway",132,10,"ACR 46, CH 136, 2017",6th Street (PM 14.770) ,Garner Road / Claus Road (PM 19.010)
582,Wabash Boulevard,15,11,By Location,I-5,I-805
583,Deputy Sheriff Joel B. Wahlenmaier Memorial Highway,168,6,"ACR 164, CH 152, 2010",Intersection of Dragonfly Lane and Tollhouse Road,Ockenden Ranch Road
584,Sergeant Brian Walker Memorial Highway,247,8,"ACR 180, CH 162, 2016",Camp Rock Road (PM 39.598),Allen Way (PM 44.366) 
585,CHP Lieutenant Michael Elvin Walker Memorial Highway,17,5,"SCR 51, CH 110, 2007",Post Mile 5.91,Post Mile 11.78
586,Deputy Sheriff Dennis Wallace Memorial Highway,132,10,"ACR 181, CH 147, 2018",Root Road (Postmile 20.640),McEwen Road (Postmile 25.146)
587,"James Mitchell ""Mitch"" Waller Memorial Highway",405,12,"ACR 65, CH 169, 2015",SAN DIEGO CREEK EB# 55-451RT - PM 1.525,SAN DIEGO CREEK EB# 55-285 - PM 6.459
588,Charles I. Walter Memorial Highway,1,5,"ACR 88, CH 140, 2017",Kansas Avenue (PM 20.890) ,Canet Road (PM 25.580)
589,Clarence Ward Memorial Boulevard ,217,5,"AB 2718, CH 1789, 1955",Route 101 in Santa Barbara,UC Santa Barbara Campus
590,Warren Boulevard ,13,4,"ACR 96, CH 166, 1957",I-580,Route 24
591,West Side Freeway,5,"6, 10, 3",By Location,Route 99 in Wheeler Ridge,Woodland
592,West Valley Freeway,85,4,"ACR 57, CH 73, 1996",Route 101 near Bernal Road in San Jose,Route 101 near Moffett Boulevard in Mountain View
593,Patricia Ann Weston Memorial Highway,99,3,"SCR 84, CH 66, 2010",Post mile 36,Post mile 40
594,Officer Mark A. White Memorial Highway,65,3,"ACR 179, CH 126, 2004",Sunset Boulevard,Route 193/McBean Park Drive
595,Bill Whitehurst Memorial Highway,152,6,"SCR 36, CH 71, 2013","JCT RTE 233,NE. BR 41-59 - PM 10.799",JCT RTE 99 - PM 15.622
596,"CAL-FIRE Firefighter Matt Will Memorial
Highway",156,4,"ACR 106, CH 38, 2010",Route 25,Route 101
597,Los Angeles County Deputy Sheriff Jack Williams Memorial Highway,605,7,"SCR 67, CH 16, 2020","Alondra Blvd UC# 53-1645 (Postmile
R5.811)",Rosecrans Avenue UC#53-1648 (Postmile R6.814)
