Name,Primary_Occupation,Sex,Race,Birth_Date,Death_Date,Wikipedia_Link
Jose Gil Vega,politician,male,,1959-00-00,,
Joseph P Sanders,researcher,male,,,,
Juan Gonzalez,athlete,male,,1971-09-21,,
Juan Miguel Mendez Covarrubias,,,,,,
June Mccarroll,nurse,female,,1867-06-30,1954-03-30,https://en.wikipedia.org/wiki/June_McCarroll
Junipero Serra,missionary,male,,1713-11-24,1784-08-28,https://en.wikipedia.org/wiki/Jun%C3%ADpero_Serra
Justin Kepler,,,,,,
Katcho Achadjian,politician,male,,1951-06-02,2020-03-05,https://en.wikipedia.org/wiki/Katcho_Achadjian
Keith Boyer,,,,,,
Kenneth L Maddy,,,,,,
Kent D Pursel,,,,,,
Kent Haws,,,,,,
Kent Hintergardt,,,,,,
Kevin Michael Burrell,,,,,,
Kevin Tonn,,,,,,
Kevin Woyjeck,,,,,,
Kirk Griess,,,,,,
Lance Christian Vasquez,,,,,,
Lance Javier Olvera,,,,,,
Larry Chimbole,politician,male,,1919-05-22,2015-11-10,https://en.wikipedia.org/wiki/Larry_Chimbole
Larry L Wetterling,,,,,,
Leo Stanley Hulett,,,,,,
Lesley Zerebny,,,,,,
Lewis E Platt,,,,,,
Linus F Claeys,,,,,,
Loren D Scruggs,,,,,,
Louella Thomas,,,,,,
Louis J Papan,,,,,,
Louis Zamperini,motivational speaker,male,,1917-01-26,2014-07-02,https://en.wikipedia.org/wiki/Louis_Zamperini
Lucas F Chellew,,,,,,
Luis Carlos Ruan,military personnel,male,,1923-00-00,2006-12-04,
Luther Burbank,horticulturist,male,,1849-03-07,1926-04-11,https://en.wikipedia.org/wiki/Luther_Burbank
Luther E Gibson,,,,,,
Manuel A Gonzalez,researcher,,,,,
Manuel Joaquin Holguin,,,,,,
Mark A White,researcher,male,,,,
Mark Ratledge,,,,,,
Martin A Matich,,,,,,
Martin L Ganz,,,,,,
Martin Luther King,pastor,male,African Americans,1929-01-15,1968-04-04,https://en.wikipedia.org/wiki/Martin_Luther_King_Jr.
Matt Will,researcher,male,,,,
Matthew Patrick Manoukian,,,,,,
Matthew Slostringer Frank,,,,,,
Merrit W Deeds,,,,,,
Michael Allen Brandt,,,,,,
Michael Crain,,male,,1974-02-22,,https://en.wikipedia.org/wiki/Michael_Crain
Michael Elvin Walker,,,,,,
Michael J Burns,researcher,male,,,,
Michael Mike Jason Katherman,,,,,,
Michael Mikey Hallenbeck,,,,,,
Michael Wickman,university teacher,male,,1952-02-02,,
Mike Lane,actor,male,,1933-01-06,2015-06-01,https://en.wikipedia.org/wiki/Mike_Lane
Milton La Malfa,,,,,,
Modesto Leo Volk,,,,,,
Modesto Steve May,,,,,,
Monty L Conley,,,,,,
Natalie Corona,writer,female,,1898-10-30,1985-10-00,
Nathan Shapell,businessperson,male,,1922-03-07,2007-03-11,https://en.wikipedia.org/wiki/Nathan_Shapell
Nels Dan Niemi,,,,,,
Nicholas Vella,rugby league player,,,,,
Norman Y Mineta,,,,,,
Oceanside Daniel S Bessant,,,,,,
Oceanside Tony Zeppetella,,,,,,
Ort J Lofthus,,,,,,
Oscar Rios,researcher,,,,,
Pasadena Richard Morris,,,,,,
Pat Nimmo,,,,,,
Pat Nixon,actor,female,,1912-03-16,1993-06-22,https://en.wikipedia.org/wiki/Pat_Nixon
Patricia Ann Weston,,female,,,,
Patricia M Scully,,,,,,
Patrick Jones,basketball player,male,,1967-10-28,,
Paul C Jarske,,,,,,
Paul H Pino,,,,,,
Paul J Lunardi,,,,,,
Paul Johnson,journalist,male,,1928-11-02,2023-01-12,https://en.wikipedia.org/wiki/Paul_Johnson_(writer)
Paul Vincent Rotondaro,,,,,,
Pepe Petersen,,,,,,
Pfc George Howell,,,,,,
Pomona Greggory Casillas,,,,,,
Pomona Shaun Diamond,,,,,,
Quentin L Kopp,,,,,,
R Kirk Lindsey,,,,,,
Ramon Figueroa,,,,,,
Ramon Ojeda,politician,male,,1943-01-01,2021-01-01,
Randy Bolt,,,,,,
Raul Vasquez Gama,,,,,,
Ray E Johnson,,,,,,
Reuben F Rios,,,,,,
Ricardo A Crocker,,,,,,
Ricardo Ricky Barraza,,,,,,
Richard D Duvall,,,,,,
Richard Dick Dickerson,,,,,,
Richard Dick Noles,,,,,,
Richard Hyche,,,,,,
Richard Perkins,,,,,,
Richard T Steed,,,,,,
Rick Charles Cromwell,,,,,,
Ricky Del Fiorentino,,,,,,
Ritchie Valens,singer,male,,1941-05-13,1959-02-03,https://en.wikipedia.org/wiki/Ritchie_Valens
Robert Bob Paris,,,,,,
Robert Bob Thompson,,,,,,
Robert Bobby French,,,,,,
Robert Franklin Dickey,,,,,,
Robert J Quirk,,,,,,
Robert Joe Mata,,,,,,
Robert Jones,politician,male,,1950-09-26,2007-04-16,https://en.wikipedia.org/wiki/Robert_Jones_(Conservative_politician)
Robert M Jackson,researcher,male,,,,
Robert Rumfelt,,,,,,
Robert Scott Johnson,,,,,,
Robert T Monagan,,,,,,
Roberto Bobby Salcedo,,,,,,
