source_url,name,bio,age,tour,badge,cause,end_of_watch,incident_details,matched_input_name,fuzzy_score
https://www.odmp.org/officer/12525-officer-william-p-sniffen,Officer William P. Sniffen,"Officer William Sniffen was killed in a motorcycle crash while pursuing a speeding motorist on the Nimitz Freeway at 8:30 p.m. The vehicle he was pursuing rear-ended a stalled car and burst into flames. Officer Sniffen was unable to stop and slid underneath the burning vehicle. The subject he was pursuing was arrested for felony drunk driving and felony manslaughter. He pleaded guilty and was sentenced to 45 days in jail and three years of probation. Officer Sniffen was a United States Air Force veteran and had served with the California Highway Patrol for seven years. He was survived by his wife, son, and daughter.",31,7 years,4464,Vehicle pursuit,"Thursday, April 5, 1973",Cause: Vehicle pursuit Weapon: Automobile Offender: Not available,William P Sniffen,94.11764705882352
https://www.odmp.org/officer/12733-police-officer-richard-thomas-steed,Police Officer Richard Thomas Steed,"Officer Richard Steed was shot and killed while responding to what was believed to be a medical assistance call on El Camino Real in which a person claimed to have slashed his wrists. When he arrived at the scene, he was shot by the person who had requested the assistance. The killer, 23, fled the scene but was arrested approximately eight hours later in a nearby parking lot and is incarcerated at a mental hospital, deemed incompetent to stand trial. He was declared too dangerous to release August 10, 1988. Officer Steed was a United States Marine Corps veteran and had served with the San Clemente Police Department for less than two years. He is survived by his wife. A park in San Clemente has been named for Officer Steed. In 2011, a stretch of I-5 that runs through San Clemente was designated as the Officer Richard T. Steed Memorial Highway. Officer Steed is the only member of the San Clemente Police Department to have been killed in the line of duty. Policing services in San Clemente is now provided by the Orange County Sheriff’s Department.",30,2 years,999,Gunfire,"Wednesday, November 29, 1978",Cause: Gunfire Weapon: Handgun; .38 caliber Offender: Committed,Richard T Steed,92.85714285714286
https://www.odmp.org/officer/13503-officer-alfred-ray-turner,Officer Alfred Ray Turner,"Officer Alfred Turner succumbed to injuries received two weeks earlier when he made a traffic stop on I-5 near Los Banos. Unbeknownst to Officer Turner, the vehicle had just been reported stolen. As he approached the car, the suspect exited and began walking toward him. The man suddenly pulled out a .357 caliber handgun and opened fire, striking Officer Turner three times. Although critically wounded, Officer Turner was able to return fire and strike the suspect five times. Officer Turner was transported to St. Agnes Hospital, where he succumbed to his wounds after five operations. The suspect recovered from his wounds and was charged with murder. He was convicted and sentenced to life in prison. He was denied parole in 2010. He will be eligible for parole again in 2024. Officer Turner was a United States Navy veteran who served with the California Highway Patrol for seven years and was assigned to the Los Banos area. He is survived by his wife, daughter, and son.",35,7 years,6185,Gunfire,"Tuesday, December 16, 1975","Cause: Gunfire Incident Date: Thursday, December 4, 1975 Weapon: Handgun; .357 caliber Offender: Sentenced to life in prison",Alfred R Turner,92.85714285714286
https://www.odmp.org/officer/14034-officer-larry-l-wetterling,Officer Larry L. Wetterling,"Officer Larry Wetterling was shot and killed when he stopped to help a motorist with a flat tire on Interstate 15. He did not know that the motorist was a convicted felon with a stolen car. The felon shot Officer Wetterling and fled in his patrol car. A few miles away, he crashed into an embankment and then ran to a nearby gas station, where he shot and killed the attendant. During a police search, the suspect shot and killed Lieutenant Alfred Stewart of the San Bernardino County Sheriff's Department and wounded a civilian ride-along. A passerby, who witnessed the shooting, shot and wounded the suspect. The suspect was convicted of three counts of first-degree murder and sentenced to death. His conviction was later overturned and commuted to life. He died in prison in 2014. Officer Wetterling had served with the California Highway Patrol for six years. He was survived by his wife, two daughters, parents, and two sisters. A portion of I-15 was renamed the CHP Larry L. Wetterling and San Bernardino Sheriff's Lieutenant Alfred E. Stewart Memorial Highway.",30,6 years,5966,Gunfire,"Friday, March 9, 1973",Cause: Gunfire Weapon: Handgun; .38 caliber Offender: Sentenced to life,Larry L Wetterling,94.44444444444444
https://www.odmp.org/officer/14722-officer-david-wayne-manning,Officer David Wayne Manning,Officer Manning was killed in a motorcycle accident while en route home at the end of his shift. Officer Manning's police motorcycle crashed into a field. The accident scene wasn't discovered for seven hours. Officer Manning was transported to a local hospital where he succumbed to his injuries 21 days later. He had served with the agency for 8 years.,31,8 years,12246,Motorcycle crash,"Thursday, February 15, 1996","Cause: Motorcycle crash Incident Date: Thursday, January 25, 1996",David W Manning,92.85714285714286
https://www.odmp.org/officer/14757-police-officer-daniel-t-fraembs,Police Officer Daniel T. Fraembs,"Police Officer Daniel Fraembs was shot and killed while checking on three suspicious subjects that included two male gang members in an industrial area on South Humane Way, near Mission Boulevard, at approximately 1:30 am. As Officer Fraembs patted down the first male suspect the second man was able to draw a .45 caliber handgun and shot Officer Fraembs in the face, killing him. The gang member who shot him was sentenced to death in 1997. Officer Fraembs was a U.S. Marine Corps veteran and had served with the Pomona Police Department for three years. He is survived by his mother and sister.",37,3 years,27,Gunfire,"Saturday, May 11, 1996",Cause: Gunfire Weapon: Handgun; .45 caliber Offender: Sentenced to death,Daniel T Fraembs,93.75
https://www.odmp.org/officer/14828-officer-james-douglas-schultz,Officer James Douglas Schultz,Officer James Schultz succumbed to his injuries when he was struck by a vehicle at approximately 11:25 p.m. on Interstate 8. He was checking on an unattended vehicle parked on the shoulder of Interstate 8 near the Gordon Wells area when a passing motorist accidentally hit him. The motorist immediately stopped and assisted Officer Schultz's partner to provide medical care until EMTs arrived. He was transported to the Yuma Medical Center where he succumbed to his injuries. Officer Schultz had served with the California Highway Patrol for 24 years. He is survived by his wife and son,46,24 years,7911,Struck by vehicle,"Saturday, November 16, 1996","Cause: Struck by vehicle Incident Date: Friday, November 15, 1996",James D Schultz,92.85714285714286
https://www.odmp.org/officer/14921-officer-saul-martinez,Officer Saul Martinez,"Officer Saul Martinez succumbed to injuries he received when he was struck by a vehicle in the early morning hours of May 8, 1997, in Desert Hot Springs. Officer Martinez and his partner were walking back to their cruiser after stopping for a vehicle on Dillon Road when a speeding car, which was driving on the shoulder, struck him. Just before the vehicle hit him, he pushed his partner out of the way, saving his life. The misdemeanor vehicular manslaughter trial of the driver ended in a mistrial in 2000. In a final act of service, Officer Martinez donated his organs. Officer Martinez had served with the California Highway Patrol for eight years. A few hours after he was hit by the vehicle, he was named the Latino Peace Officer of the Year Award for San Bernardino and Riverside Counties. He is survived by his wife and three children. Officer Martinez was posthumously awarded the Califonia Medal of Valor. The Saul Martinez Elementary School was named in his honor.",38,8 years,12555,Struck by vehicle,"Thursday, May 15, 1997","Cause: Struck by vehicle Incident Date: Thursday, May 8, 1997",Saul Martinez,100.0
https://www.odmp.org/officer/14927-officer-daniel-james-muehlhausen,Officer Daniel James Muehlhausen,"Officer Daniel James Muehlhausen was killed after being struck head-on by a motorist who veered onto his side of the highway on Highway 62 east of Highway 177, approximately 30 miles east of Desert Center. Officer Muehlhausen was checking a remote area of the highway for a disabled vehicle at approximately 11:15 am when the oncoming vehicle attempted to illegally pass another car on a hill. Both cars burst into flames upon impact. The juvenile occupants of the other car were also killed. Officer Muehlhausen had served with the California Highway Patrol for two years. He was survived by his parents.",30,2 years,13933,Automobile crash,"Sunday, June 1, 1997",Cause: Automobile crash,Daniel J Muehlhausen,94.73684210526315
https://www.odmp.org/officer/15031-officer-scott-matthew-greenly,Officer Scott Matthew Greenly,"Officer Scott Greenly was struck and killed by the driver of a vehicle while he was making a traffic stop on another motorist for following too closely on northbound Highway 85 near Saratoga Avenue in Campbell. While he was talking with the motorist around 5:00 p.m., the suspect vehicle struck him from behind and dragged him 400 feet. The suspect was arrested on suspicion of drunk driving. The 45-year-old subject, who had a history of drunken-driving convictions, was convicted of second-degree murder in April 2000. On August 31, 2000, he was sentenced to 15 years to life in prison. Officer Greenly had served with the California Highway Patrol for 3 years. He is survived by his parents, three sisters, a brother, a grandmother, and a fiancee.",31,3 years,14325,Vehicular assault,"Wednesday, January 7, 1998",Cause: Vehicular assault Weapon: Automobile; Alcohol involved Offender: Sentenced to 15 years,Scott M Greenly,92.85714285714286
https://www.odmp.org/officer/15032-officer-james-john-rapozo,Officer James John Rapozo,"Officer James Rapozo died in surgery at 5:50 pm from a gunshot wound he suffered during a SWAT raid. The shootout also left one suspect dead and another man injured. Officer Rapozo was wearing a bulletproof vest, but the bullet hit his body in the underarm area and entered his chest. He was taken to Kaweah Delta Hospital where he was pronounced dead. The suspect who was killed was wanted in a shooting that left five people injured on Christmas Eve. Officer Rapozo had served with the Visalia Police Department for six years and was a member of the SWAT team. He was the first Visalia officer to die in the line of fire since 1946. He is survived by his wife, daughter, and son.",33,6 years,93,Gunfire,"Friday, January 9, 1998",Cause: Gunfire Weapon: Handgun Offender: Killed in shootout,James Rapozo,100.0
https://www.odmp.org/officer/15101-officer-christopher-david-lydon,Officer Christopher David Lydon,"Officer Christopher Lydon was killed in a single-car crash as he and his partner were responding to a call of a drunk driver on Highway 67 in Lakeside around 12:30 am. As they were attempting to intercept the drunk driver, the cruiser went over an embankment, crashed through two fences, rolled over, and struck a tree on the driver's side. Officer Lydon was killed instantly, but his partner was able to free himself. Both airbags were deployed, and both officers were believed to be wearing seatbelts. Officer Lydon was a United States Marine Corps Operation Desert Storm veteran and had served with the California Highway Patrol for two years. He is survived by his parents.",27,2 years,14752,Automobile crash,"Friday, June 5, 1998",Cause: Automobile crash,Christopher D Lydon,94.44444444444444
https://www.odmp.org/officer/15189-officer-rick-charles-cromwell,Officer Rick Charles Cromwell,"Officer Cromwell was killed when his police motorcycle struck another vehicle as he was attempting to catch a speeder. He had activated his lights and sirens when the third vehicle pulled in front of him from a shopping center parking lot, causing him to broadside it and killing him instantly. Officer Cromwell had served with the Lodi Police Department for 10 years. He is survived by his wife and two young daughters.",35,10 years,33,Vehicle pursuit,"Wednesday, December 9, 1998",Cause: Vehicle pursuit Weapon: Automobile Offender: Not available,Rick Charles Cromwell,100.0
https://www.odmp.org/officer/15192-deputy-sheriff-john-paul-monego,Deputy Sheriff John Paul Monego,"Deputy Sheriff John Monego was shot and killed after responding to a 911 hang-up call at a local restaurant at 6505 Regional Street in Dublin. Deputy Monego was the second deputy on the scene. When the first deputy went inside the building to investigate the call, she was overpowered by the suspects, who then took her sidearm. As Deputy Monego approached the front door, the suspects opened fire through a glass window, striking him in the chest, slightly above his ballistic vest. After Monego fell to the ground, the shooter walked outside and shot him five more times at close range. The first deputy then called for assistance as the suspects fled the restaurant. Deputy Monego was transported to a local hospital where he was pronounced dead approximately 20 minutes later. Three suspects were later arrested after a short pursuit. Each suspect was charged with murder in the commission of a robbery, murder of a police officer, and false imprisonment. The shooter was found guilty and sentenced to life without the possibility of parole. Deputy Monego had served with the department for nine years. He was survived by his wife, who was a Highway Patrol Officer, and his 18-month-old son.",33,9 years,410,Gunfire,"Saturday, December 12, 1998","Cause: Gunfire Incident Date: Friday, December 11, 1998 Weapon: Handgun Offender: Sentenced to life",John Paul Monego,100.0
https://www.odmp.org/officer/15381-police-officer-jeffrey-lynn-azuar,Police Officer Jeffrey Lynn Azuar,"Police Officer Jeffrey Azuar was shot and killed after he and another officer attempted to serve a failure to appear warrant on a suspect. The officers found the suspect hiding in a garage of the residence. The suspect began physically resisting arrest and then pulled out a handgun and shot Officer Azuar in the head. A third officer who had arrived on-scene returned fire and seriously wounded the 34-year-old suspect. Officer Azuar was transported to a local hospital where he was pronounced dead. The offender was convicted of first-degree murder and sentenced to life without the possibility of parole on May 7th, 2004. Officer Azuar was a U.S. Army veteran and had served with the Vallejo Police Department for 21 years. He is survived by his daughter. In 2020 a local street in Vallejo was renamed Jeffrey Azuar Drive. He had been a canine handler since 1993. His first canine, Rondo, was stabbed to death in the line of duty in 1997.",50,21 years,371,Gunfire,"Wednesday, April 12, 2000",Cause: Gunfire Weapon: Handgun; .357 caliber Offender: Sentenced to life,Jeffrey Lynn Azuar,100.0
https://www.odmp.org/officer/15452-police-officer-ii-robert-joe-mata,Police Officer II Robert Joe Mata,"Officer Mata was killed in a single vehicle accident while he responded to backup another officer who was investigating a stolen vehicle. During the response, Officer Mata lost control of his cruiser and struck a utility pole on the driver's side. Officer Mata's partner was injured in the accident and was freed by responding officers. Rescue crews had to use the jaws of life to remove Officer Mata from the cruiser. He was transported to a local hospital where he was pronounced dead. Officer Mata had been employed with the Los Angeles Police Department for six years. He is survived by his wife, a recent graduate of the police academy, and his two young children.",26,6 years,32571,Automobile crash,"Tuesday, September 19, 2000",Cause: Automobile crash,Robert Joe Mata,100.0
https://www.odmp.org/officer/15468-officer-sean-alexander-nava,Officer Sean Alexander Nava,"Officer Sean Nava was killed after he was struck by a drunk driver, on I-5 near Carlsbad, while assisting at a previous accident on I-5, in Carlsbad. Officer Nava was standing in the median approximately six feet from the travel lanes when the incident occurred. He was flown to a local hospital where he died a short time later. After the collision, the suspect fled the scene, but was later arrested and charged with DUI, hit and run, and manslaughter. A passenger in the vehicle stated that the suspect was aware that he hit something on the freeway before he fled the scene. The 20-year-old driver was returning home after a night of drinking in Tijuana, Mexico. In 2002 he was convicted of gross vehicular manslaughter, hit-and-run, and sentenced to 11 years. In 1999, Officer Nava had been awarded the Spirit of Courage Award for his attempts to save a man from a burning vehicle. Officer Nava had been employed with the California Highway Patrol for 12 years, and is survived by his wife and two children, ages four and seven.",33,12 years,12890,Vehicular assault,"Saturday, October 28, 2000",Cause: Vehicular assault Weapon: Automobile; Alcohol involved Offender: Sentenced to 11 years,Sean Nava,100.0
